current_gold,total_gold,level,xp,cs,jg,champion_mastery,damage_taken_per_min,champion_mastery_median,champion_mastery_min,ward_placed,elite_monster_killed,building_killed,champion_killed,winner
-697.0,-1518.0,-2.0,-3254.0,23.0,-10.0,0.0,-619.5,0,0,-22,-2,-1,-7,1
-1927.0,1633.0,1.0,1422.0,-45.0,-20.0,0.0,-53.79999999999973,0,0,13,-3,-2,9,1
4033.0,4108.0,2.0,3722.0,19.0,42.0,0.0,383.5999999999997,0,0,58,2,1,6,1
-2195.0,275.0,0.0,392.0,22.0,-28.0,0.0,-316.29999999999995,0,0,-3,-4,0,7,0
-2430.0,-1298.0,-1.0,-563.0,-41.0,4.0,0.0,380.5999999999999,0,0,-12,-3,-1,-2,1
567.0,-4998.0,-3.0,-2421.0,-48.0,7.0,0.0,567.5,0,0,12,-3,-4,-7,1
1251.0,1176.0,1.0,50.0,44.0,-93.0,0.0,-162.5,0,0,-125,0,0,-3,0
-18.0,427.0,1.0,919.0,47.0,-7.0,0.0,112.40000000000009,0,0,25,1,-1,1,1
-1425.0,-6945.0,-4.0,-5869.0,58.0,-18.0,0.0,15.300000000000182,0,0,13,-3,-6,-10,1
-1040.0,-1796.0,0.0,-792.0,35.0,-33.0,0.0,269.5,0,0,-364,-2,-3,-6,1
-934.0,6613.0,2.0,2870.0,-6.0,6.0,0.0,-319.0,0,0,1,0,3,7,0
-6247.0,-1612.0,-5.0,-6435.0,26.0,-58.0,0.0,136.00000000000045,0,0,3,-1,-1,-1,1
-5870.0,3490.0,-2.0,-2018.0,54.0,-16.0,0.0,-218.70000000000005,0,0,-15,2,1,2,0
405.0,-4495.0,-2.0,-3995.0,-37.0,-8.0,0.0,-444.6999999999998,0,0,0,-1,-5,-7,0
-3959.0,-1799.0,-2.0,-3221.0,-7.0,-23.0,0.0,47.19999999999982,0,0,25,-1,-3,-6,1
987.0,-7870.0,-5.0,-6677.0,-60.0,-32.0,0.0,-339.0999999999999,0,0,-4,-4,-4,-9,1
3954.0,7141.0,5.0,5594.0,57.0,21.0,0.0,-26.300000000000182,0,0,-9,2,3,6,0
-2339.0,-1532.0,-2.0,-2890.0,21.0,26.0,0.0,-283.4000000000001,0,0,6,-1,-2,-10,1
1940.0,6950.0,0.0,233.0,107.0,29.0,0.0,36.0,0,0,-19,1,1,6,0
202.0,5481.0,4.0,3310.0,51.0,12.0,0.0,79.79999999999995,0,0,-22,2,1,5,0
592.0,-9083.0,-7.0,-9334.0,-73.0,-71.0,0.0,-542.9000000000003,0,0,-5,-1,-2,-9,1
795.0,7323.0,3.0,3582.0,50.0,8.0,0.0,-391.70000000000005,0,0,169,2,6,6,0
-920.0,-3188.0,-5.0,-6776.0,40.0,-27.0,0.0,-341.29999999999995,0,0,-98,-3,-2,-7,1
-1482.0,1108.0,3.0,2282.0,43.0,35.0,0.0,828.8000000000002,0,0,7,-1,0,-1,0
-316.0,629.0,2.0,-76.0,-19.0,37.0,0.0,233.70000000000005,0,0,5,-2,-3,-1,0
-2471.0,-2771.0,-3.0,-3932.0,-13.0,-24.0,0.0,314.79999999999995,0,0,5,2,-2,-3,0
-2067.0,6499.0,4.0,3773.0,45.0,26.0,0.0,239.0999999999999,0,0,3,3,3,8,0
-1438.0,-5092.0,-7.0,-7654.0,30.0,-54.0,0.0,-240.20000000000027,0,0,7,-3,-2,-11,1
2291.0,870.0,-1.0,-812.0,-12.0,-48.0,0.0,-296.39999999999964,0,0,-9,-2,-1,2,0
4039.0,6664.0,3.0,4085.0,80.0,3.0,0.0,-447.0,0,0,-20,4,2,3,0
163.0,-1152.0,2.0,4137.0,-14.0,4.0,0.0,229.5,0,0,-171,-2,-1,2,1
2054.0,6649.0,4.0,3794.0,28.0,47.0,0.0,88.09999999999991,0,0,32,4,3,9,0
-1390.0,-4774.0,-4.0,-3863.0,-67.0,16.0,0.0,-60.80000000000018,0,0,-11,1,0,-9,0
1439.0,5566.0,4.0,4224.0,30.0,12.0,0.0,-408.1999999999998,0,0,-43,0,4,9,0
-961.0,860.0,0.0,1069.0,-18.0,-4.0,0.0,125.70000000000027,0,0,58,-3,-4,8,1
-2571.0,-7009.0,-3.0,-5695.0,-102.0,-8.0,0.0,317.89999999999964,0,0,-18,-2,-5,-3,1
5155.0,1740.0,2.0,2555.0,22.0,-14.0,0.0,-67.00000000000023,0,0,0,0,-2,5,1
1552.0,3846.0,5.0,4853.0,-5.0,-15.0,0.0,13.499999999999545,0,0,2,3,1,3,1
1283.0,10185.0,6.0,7216.0,46.0,17.0,0.0,-133.69999999999982,0,0,-130,0,1,16,0
2250.0,9031.0,7.0,9283.0,58.0,27.0,0.0,-69.39999999999964,0,0,1,1,2,12,0
800.0,6845.0,3.0,4883.0,38.0,37.0,0.0,-44.00000000000023,0,0,5,1,2,6,0
-3805.0,-4945.0,-2.0,-2778.0,-25.0,18.0,0.0,-200.29999999999995,0,0,1,0,-3,-5,1
59.0,7078.0,3.0,4335.0,-5.0,27.0,0.0,-535.4000000000001,0,0,-6,-1,0,11,0
-595.0,-2160.0,-2.0,-3237.0,27.0,-37.0,0.0,499.1999999999998,0,0,10,1,-1,-3,1
-3277.0,-3606.0,-4.0,-4690.0,-19.0,32.0,0.0,87.40000000000009,0,0,-3,1,-2,-8,1
-430.0,2489.0,0.0,1759.0,52.0,75.0,0.0,-187.0999999999999,0,0,180,0,-2,5,0
1017.0,-5832.0,-4.0,-5416.0,-8.0,-48.0,0.0,8.0,0,0,6,-3,-4,-11,0
3508.0,2888.0,2.0,2263.0,-9.0,13.0,0.0,-86.5,0,0,7,0,-1,5,1
355.0,5386.0,4.0,5418.0,22.0,-19.0,0.0,229.10000000000036,0,0,12,-2,1,12,0
-322.0,1632.0,0.0,147.0,33.0,8.0,0.0,796.8,0,0,-12,3,-1,1,1
227.0,1951.0,0.0,690.0,158.0,10.0,0.0,-340.70000000000005,0,0,-327,-1,-1,1,0
-3187.0,-4387.0,-1.0,-725.0,-7.0,-33.0,0.0,399.1999999999998,0,0,-5,-3,-3,-5,0
881.0,-2334.0,-2.0,-3049.0,10.0,-12.0,0.0,253.69999999999982,0,0,-1,-3,-1,-7,1
192.0,707.0,0.0,-612.0,0.0,23.0,0.0,263.0,0,0,106,1,0,0,1
1823.0,6353.0,3.0,4611.0,52.0,4.0,0.0,-691.3,0,0,-360,3,3,16,0
82.0,11611.0,9.0,9500.0,88.0,51.0,0.0,-51.79999999999927,0,0,13,1,5,18,0
223.0,6886.0,3.0,6337.0,-18.0,46.0,0.0,-224.50000000000023,0,0,5,2,2,11,0
2339.0,4692.0,2.0,2005.0,11.0,-1.0,0.0,-76.60000000000014,0,0,-5,0,1,4,0
220.0,-1413.0,-2.0,-4049.0,80.0,-8.0,0.0,-317.0000000000002,0,0,5,-3,-2,-5,1
3513.0,9423.0,3.0,4199.0,56.0,19.0,0.0,-240.50000000000045,0,0,198,3,0,12,0
2043.0,4117.0,3.0,5283.0,18.0,51.0,0.0,-671.8000000000002,0,0,-1,1,2,6,0
-1234.0,-4939.0,-3.0,-4118.0,-19.0,-50.0,0.0,-750.2999999999997,0,0,-7,-1,-2,-5,1
-229.0,-1751.0,-4.0,-3506.0,30.0,-21.0,0.0,-546.9000000000005,0,0,-4,-2,-1,-11,1
1255.0,-1220.0,1.0,2442.0,-39.0,22.0,0.0,464.8000000000002,0,0,16,-1,-2,-1,1
-2956.0,-5787.0,1.0,1017.0,-148.0,-69.0,0.0,-161.40000000000055,0,0,7,-2,-7,2,1
-193.0,-1928.0,0.0,324.0,22.0,5.0,0.0,-237.79999999999995,0,0,-13,1,-1,-3,1
1370.0,-6795.0,-5.0,-4449.0,-56.0,-9.0,0.0,740.0999999999999,0,0,-42,-1,-3,-16,1
2031.0,2696.0,2.0,2929.0,-4.0,10.0,0.0,368.4000000000001,0,0,-3,0,-1,4,1
884.0,-1212.0,-1.0,477.0,-26.0,-9.0,0.0,-629.7,0,0,-8,-1,0,-3,1
-2561.0,-7471.0,-4.0,-5908.0,-24.0,-14.0,0.0,550.5999999999999,0,0,-7,-1,-3,-10,1
-2056.0,-4289.0,-3.0,-3134.0,14.0,-60.0,0.0,13.799999999999955,0,0,-7,0,-2,-4,1
